elevation,slope,rainfall,ndvi,ndwi,landcover,flooded,row,col
0.0,0.0,1784.3845,-0.03073286,0.02810701,80.0,1,829,1624
0.0,0.0,1991.2697,-0.2145821,0.19477363,80.0,1,519,2394
0.0,0.0,1792.7908,-0.096715875,0.11301775,80.0,1,777,1805
0.0,0.0,1911.6304,-0.27485713,0.23646209,80.0,1,563,2384
0.0,0.0,2102.7595,0.024125453,-0.011316259,80.0,1,741,3866
0.0,0.0,2100.0947,-0.25396827,0.2571839,80.0,1,657,3776
0.0,0.0,2269.0215,0.0,0.0,90.0,1,429,4215
0.0,0.0,1814.8434,-0.31476685,0.2554539,80.0,1,622,1944
0.0,0.0,2269.9353,-0.23138833,0.25487646,90.0,1,430,4206
0.0,0.0,2090.6558,-0.26442307,0.2545676,80.0,1,605,3678
0.0,0.0,1914.541,-0.3320508,0.3231969,80.0,1,587,2229
0.0,0.0,1931.976,-0.18518518,0.17281273,80.0,1,548,2155
0.0,0.0,1936.2671,-0.22862524,0.2095716,80.0,1,548,2133
0.0,0.0,2081.0156,-0.19711658,0.15709811,80.0,1,488,2556
0.0,0.0,1991.1787,-0.31957895,0.29647365,80.0,1,459,2063
0.0,0.0,1901.3408,0.01777362,-0.0550303,80.0,1,818,1156
0.0,0.0,1900.525,0.46770355,-0.43781096,30.0,1,632,2193
0.0,0.0,2258.4797,-0.14879791,0.1817614,90.0,1,499,4036
0.0,0.0,1961.061,0.072782874,-0.081047766,80.0,1,264,2796
0.0,0.0,2008.7162,-0.010716678,-0.01721763,80.0,1,293,3057
0.0,0.0,1679.8416,-0.12148148,0.07053292,80.0,1,699,276
6.7498403,0.0,1485.4293,0.0,0.0,50.0,1,922,7
0.0,0.0,1850.6243,-0.08032,0.0006954103,80.0,1,823,1492
0.0,0.0,2045.2885,-0.14962533,0.11049305,80.0,1,504,2532
0.0,0.0,2021.1149,-0.18587747,0.23312683,80.0,1,396,2782
0.0,0.0,2042.5004,-0.19640565,0.15860215,80.0,1,503,2504
0.16853403,0.8588317,1701.7225,-0.035634745,-0.020023556,80.0,1,740,332
0.0,0.0,2260.0874,-0.20109066,0.23298429,80.0,1,498,4043
0.0,0.0,1937.1469,-0.33843058,0.33197886,80.0,1,609,2154
0.0,0.0,1904.57,-0.31332815,0.31359562,80.0,1,606,2226
0.0,0.0,1961.9729,-0.1534091,0.12865497,80.0,1,505,1938
